Individual,collection,AHR,AIING,BDNF,BMP2,HMGB2,HNFL,NB22519,PSMC1,PAX1P1,R35,RAG-1,TB01,TB29,TB73,ZFHX1B
Ctrifasciata_KFBG030552847,Kadoorie Farms and Botanic Gardens,JQ596037,JQ596077,JQ596117,JQ596157,JQ596197,EF011308,JQ596246,JQ596420,JQ596380,EF011450,JQ596466,JQ596513,JQ596552,JQ596588,JQ596627
Cyclemys_sp_CAS208423,California Academy of Sciences,MT958361,MT964035,MT959216,MT959437,MT965531,MT959948,MT960358,MT964720,MT961142,MT961278,MT961763,MT962195,MT962687,MT963120,MT963498
Cyclemys_sp_FMNH267458,Field Museum of Natural History,MT958363,MT964037,MT959209,MT959439,MT965508,MT959950,MT960360,MT964724,MT960924,MT961280,MT961765,MT962197,MT962689,MT963121,MT963500
Czhoui_HBS41855,H.B Shaffer Collection,JQ596046,JQ596086,JQ596126,JQ596166,JQ596206,EF011313,JQ596255,JQ596429,JQ596389,EF011461,JQ596475,JQ596522,EU907524,JQ596597,JQ596635
Czhoui_HBS41862,H.B Shaffer Collection,JQ596047,JQ596087,JQ596127,JQ596167,JQ596207,EF011315,JQ596256,JQ596430,JQ596390,EF011463,JQ596476,JQ596523,JQ596561,JQ596598,JQ596636
Dcoriacea_MVZ149847,Museum of Vertebrate Zoology,MT958364,MT964038,MT958850,MT959440,MT965434,MT959951,MT960361,MT964838,MT960916,MT961281,MT961766,MT962198,MT962690,MT963122,MT963501
Dcoriacea_MVZ149849,Museum of Vertebrate Zoology,GU085513,GU085532,GU085551,GU085570,GU085589,GU085607,GU085622,GU085640,GU085658,GU085684,GU085671,GU085698,GU085714,MT963123,GU085839
Dermatemys_mawii_HBS116865,H.B Shaffer Collection,KJ582522,KJ582559,KJ582606,KJ582653,KJ582700,KJ582747,KJ582786,KJ582831,KJ582874,KJ582913,MT961767,KJ583004,KJ583049,MT963124,KJ583090
Dermatemys_mawii_HBS116867,H.B Shaffer Collection,MT958366,MT964040,KJ582607,KJ582654,KJ582701,MT959953,MT960363,KJ582832,KJ582875,KJ582914,MT961768,MT962200,MT962692,MT963125,MT963503
Drchrysea_HBS108680,H.B Shaffer Collection,KX558372,KX558859,MT958931,KX558934,KX559051,FJ770632,KX559198,KX558786,KX558683,FJ770676,FJ770721,KX559232,FJ770811,FJ770857,MT963504
Drreticularia_MVZ137744,Museum of Vertebrate Zoology,MT958368,MT964042,MT958929,MT959444,KX559052,FJ770631,KX559199,KX558787,KX558684,FJ770675,FJ770720,MT962202,FJ770810,FJ770856,MT963505
Eblandingii_HBS116243,H.B Shaffer Collection,KX558374,KX558861,MT958940,KX558936,KX559053,KX559274,KX559200,KX558788,KX558685,KX559322,MT961771,KX559234,KX558717,KX558738,KX559086
Eblandingii_HBS23408,H.B Shaffer Collection,MT958371,MT964045,MT958939,KX558937,MT965038,EU787096,MT960367,MT964918,KX558686,AY905211,EU787253,MT962205,EU787279,EU787386,MT963508
Eimbricata_HBS112685,H.B Shaffer Collection,MT958377,MT964051,MT958905,MT959453,MT965022,MT959958,MT960369,MT964911,MT960937,MT961291,MT961775,MT962211,MT962695,MT963131,MT963514
Eimbricata_HBS112687,H.B Shaffer Collection,MT958378,MT964052,MT958903,MT959454,MT965021,MT959959,MT960370,MT964941,MT960932,MT961292,MT961776,MT962212,MT962696,MT963132,MT963515
Emarmorata_HBS39734,H.B Shaffer Collection,KJ581998,KJ582174,KJ581886,KC687422,KC687336,GU064010,KC688088,KC687671,KJ582485,AY905242,MT961787,KC687507,KJ582261,KC687922,KJ581935
Emarmorata_HBS39859,H.B Shaffer Collection,MT958391,MT964065,KJ581892,KJ581981,MT965374,GU064025,KJ581932,KJ582020,KJ582491,AY905262,MT961788,KJ581860,MT962700,MT963142,MT963528
Eorbicularis_HBS108690,H.B Shaffer Collection,KX558376,KX558863,KX558339,KX558938,KX559055,EU787154,KX559203,KX558790,KX558687,EU787214,EU787263,KX559236,EU787289,EU787396,MT963531
Eorbicularis_HBS108694,H.B Shaffer Collection,KX558377,KX558864,MT958916,KX558939,KX559056,EU787152,MT960375,KX558791,KX558688,EU787212,EU787262,MT962227,EU787288,EU787395,KX559090
Epallida_HBS115911,H.B Shaffer Collection,MT958397,KJ582173,KJ581885,MT959473,KJ582006,MT959968,KJ581926,KJ582014,KJ582484,MT961307,MT961792,KJ581854,KJ582260,KJ582350,KJ581934
Epallida_HBS39753,H.B Shaffer Collection,KJ581999,KJ582175,KJ581887,MT959472,MT965373,EU787110,MT960376,KJ582015,KJ582493,MT961306,MT961791,KJ581855,EU787283,EU787390,KJ581936
Etrinacris_IPMB4706,"Institute for Pharmacy and Molecular Biotechnology, Heidelberg",MT958404,MT964078,MT958917,KX558940,KX559057,FJ770633,MT960378,MT964921,KX558689,FJ770677,FJ770722,KX559238,FJ770812,FJ770858,MT963541
Etrinacris_IPMB4707,"Institute for Pharmacy and Molecular Biotechnology, Heidelberg",MT958405,MT964079,MT958918,MT959481,MT965045,FJ770634,MT960379,MT964922,MT960780,FJ770678,FJ770723,MT962237,FJ770813,FJ770859,MT963542
Gagassizii_GOAG01,Taylor Edwards Collection,MT958408,MT964082,MT959128,MT959484,MT965176,MT959977,MT960380,MT964617,MT960763,MT961316,MT961801,MT962240,MT962703,MT963153,MT963545
Gagassizii_GOAG02,Taylor Edwards Collection,MT958409,MT964083,MT959127,MT959485,MT965175,MT959978,MT960381,MT964618,MT960938,MT961317,MT961802,MT962241,MT962704,MT963154,MT963546
Gbarbouri_RCT277,Robert Thomson Collection,KX558380,KX558867,KX558343,MG728178,KX559059,MT959981,KX559207,MG728562,KX558691,KX559323,MT961805,KX559240,KX558718,MG728833,KX559093
Gbarbouri_RCT51,Robert Thomson Collection,MT958411,MT964085,MT958991,MT959487,MT965381,MT959980,MT960383,MT964560,MT960820,KX559324,MT961804,MT962243,KX558719,MG728834,KX559094
Gberlandieri_GOBE01,Taylor Edwards Collection,MT958413,MT964087,MT959130,MT959489,MT965478,MT959982,MT960385,MT964614,MT960939,MT961321,MT961806,MT962245,MT962707,MT963158,MT963550
Gberlandieri_GOBE02,Taylor Edwards Collection,MT958414,MT964088,MT959132,MT959490,MT965181,MT959983,MT960386,MT964615,MT961021,MT961322,MT961807,MT962246,MT962708,MT963159,MT963551
Gcaglei_RCT431,Robert Thomson Collection,MT958415,MT964089,MG728126,MG728181,MG728291,MT959984,MG728401,MT964825,MT960822,MT961323,MT961808,MG728674,MT962709,MG728836,MT963552
Gelegans_MVZ244882,Museum of Vertebrate Zoology,MT958417,MT964091,MT959173,MT959493,MT965147,MT959986,MT960389,MT964640,MT961079,MT961325,MT961810,MT962249,MT962710,MT963162,MT963554
Gelegans_MVZ248395,Museum of Vertebrate Zoology,MT958418,MT964092,MT959174,MT959494,MT965522,MT959987,MT960390,MT964641,MT961080,MT961326,MT961811,MT962250,MT962711,MT963163,MT963555
Gernsti_RCT276,Robert Thomson Collection,MT958420,MT964094,MT958990,MT959496,MG728295,MT959989,MT960392,MT964830,MT960805,MT961328,MT961813,MG728678,MT962713,MG728840,MT963557
Gernsti_RCT45,Robert Thomson Collection,MT958419,MT964093,MT958999,MG728186,MT965396,MT959988,MT960391,MT964829,MT960804,MT961327,MT961812,MT962251,MT962712,MT963164,MT963556
Gflavimaculata_RCT140,Robert Thomson Collection,KX558382,KX558869,KX558345,KX558944,MG728298,KX559277,KX559209,MG728572,KX558693,KX559325,MT961815,MT962254,KX558720,KX558741,MT963559
