Individual,collection,AHR,AIING,BDNF,BMP2,HMGB2,HNFL,NB22519,PSMC1,PAX1P1,R35,RAG-1,TB01,TB29,TB73,ZFHX1B
Ccaretta_HBS112700,H.B Shaffer Collection,MT958300,MT963970,MT958902,MT959372,MT965518,MT959904,MT960319,MT964943,MT961006,MT961218,MT961711,MT962137,MT962626,MT963067,MT963432
Ccaretta_HBS112701,H.B Shaffer Collection,MT958301,MT963971,MT958904,MT959373,MT965023,MT959905,MT960320,MT964944,MT961007,MT961219,MT961712,MT962138,MT962627,MT963068,MT963433
Cchathamensis_HBS117534,H.B Shaffer Collection,MT958302,MT963972,MT959160,MT959374,MT965133,MT959906,MT960321,MT964661,MT961018,MT961220,MT961713,MT962139,MT962628,MT963069,MT963434
Cchathamensis_HBS117535,H.B Shaffer Collection,MT958303,MT963973,MT959165,MT959375,MT965137,MT959907,MT960322,MT964662,MT961114,MT961221,MT961714,MT962140,MT962629,MT963070,MT963435
Cchilensis_HBS124031,H.B Shaffer Collection,-,MT963974,MT959152,MT959376,MT965128,MT959908,MT960323,MT964629,MT961090,MT961222,MT961715,MT962141,MT962630,MT963071,MT963436
Cchilensis_HBS124032,H.B Shaffer Collection,-,MT963975,MT959153,MT959377,MT965127,MT959909,MT960324,MT964630,MT961115,MT961223,MT961716,MT962142,-,MT963072,MT963437
Cchitra_HBS125606,H.B Shaffer Collection,MT958304,MT963976,MT958831,MT959378,MT965003,MT959910,MT960325,MT964495,-,MT961224,-,-,MT962631,-,MT963438
Cchitra_HBS125616,H.B Shaffer Collection,MT958305,MT963977,MT958832,MT959379,MT965002,MT959911,MT960326,MT964496,MT960758,MT961225,-,-,MT962632,-,MT963439
Ccolliei_231,University of Canberra Wildlife Tissue Collection,MT958306,MT963978,MT959239,MT959380,MT965283,-,-,MT964904,-,MT961226,MT961717,-,MT962633,MT963073,MT963440
Ccolliei_AMR125476,University of Canberra Wildlife Tissue Collection,KP876670,KP876633,KP876707,KP876744,KP876838,KP876812,-,KP877087,MT960738,KP876874,MT961718,KP876981,MT962634,KP877018,KP877050
Cdentata_HBS117903,H.B Shaffer Collection,MT958308,MT963980,MT959218,MT959382,MT965219,MT959913,MT960327,MT964721,MT961173,MT961228,MT961719,MT962144,MT962635,MT963075,MT963442
Cdentata_HBS117904,H.B Shaffer Collection,MT958309,MT963981,MT959222,MT959383,MT965221,MT959914,MT960328,MT964722,MT961054,MT961229,MT961720,MT962145,MT962636,MT963076,MT963443
